"À qui attribue-t-on le slogan ""Less is more"" ?";Ludwig Mies van der Rohe;Le Corbusier;Walter Gropius;;
"Quel architecte a exposé ""Incidental Space"" à la Biennal de Venise, une structure sculpturale en fibre de verre ?";Christian Kerez;Peter Zumthor;Valerio Olgiati;;
Qu'est-ce qui traverse la Maison de Verre de Lina Bo Bardi : un ruisseau, un arbre, une sculpture, un escalier ?;Un arbre;Un ruisseau;Un escalier suspendu;;
En combien de temps la base de l'America's Cup de David Chipperfield a-t-elle été réalisée ?;11 mois;8 mois;18 mois;;
Quel ouvrage théorique majeur Aldo Rossi a-t-il publié en 1966 ?;L'architecture de la ville;Complexité et contradiction en architecture;S, M, L, XL;;
"Quel architecte a publié le livre ""Learning from Las Vegas"" ?";Robert Venturi;Denise Scott Brown;Charles Jencks;;
Quel architecte a exposé la table la plus fine du monde ?;Ishigami;Sou Fujimoto;Kazuyo Sejima;;
Dans quelle ville est située la Jubilee Church de Richard Meier ?;Rome;Los Angeles;Barcelone;;
Quel architecte franco-suisse réalise un musée face à l'acropole d'Athènes ?;Bernard Tschumi;Jean Nouvel;Renzo Piano;;
"A qui attribue-t-on : ""Ce qui m'attire, c'est la courbe sensuelle que l'on trouve dans le corps de la femme parfaite"" ?";Oscar Niemeyer ;Santiago Calatrava;Zaha Hadid;;
Quel concept théorique Valerio Olgiati développe-t-il pour décrire une architecture libérée de tout contexte ?;L'architecture Non-Référentielle;L'architecture contextuelle;L'architecture performative;;
Quel architecte japonais est mondialement reconnu pour l'utilisation du béton ?;Tadao Ando;Kengo Kuma;Fumihiko Maki;;
Qui réalise à Lille un building en forme de chaussure ?;Christian de Portzamparc;Rem Koolhaas;Jean Nouvel;;
Quelle est l'unique maison de Marcel Breuer réalisée en France ?;La Villa Sayer;La Villa Savoye;La Villa de Mandrot;;
"A qui attribue-t-on : ""l'architecture c'est la petrification d'un moment de culture"" ?";Jean Nouvel;Rem Koolhaas;Christian de Portzamparc;;
Quels architectes étaient boxeur avant de devenir architecte ?;Tadao Ando et Glenn Murcutt;Peter Zumthor et Alvaro Siza;Renzo Piano et Richard Rogers;;
Dans la fondation de quel architecte, Iberê Camargo expose-t-il ses peintures ?;Alvaro Siza ;Oscar Niemeyer;Paulo Mendes da Rocha;;
Qui conçoit des demi-maisons, pour lesquels il recevra un prix Pritzker ?;Alejandro Aravena;Shigeru Ban;Wang Shu;;
"Quel architecte porte le surnom de ""directeur inconnu du Bauhaus"" ?";Hannes Meyer;Ludwig Mies van der Rohe;Marcel Breuer;;
Quel activité Robert Mallet Stevens a-t-il pratiqué durant 20 ans ?;Décorateur de cinéma;Peintre de fresques;Scénographe de théâtre;;
"A qui attribue-t-on : ""l'architecture est le jeu savant, correct et magnifique, des volumes sous la lumière"" ?";Le Corbusier;Auguste Perret;Louis Kahn;;
Quel bâtiment de Louis Kahn est célèbre pour son plan symétrique et ses espaces de recherche ouverts à l’horizon pacifique ?;Le Salkt Institute;La bibliothèque d'Exeter;Le Kimbell Art Museum;;
A qui doit-on la médiathèque de Sendai ?;Toyo ito ;Kengo Kuma;Kazuyo Sejima;;
Que réalise Stephen Sauvestre pour Gustave Eiffel lors de l'exposition universelle de 1878 ?;Le pavillon de la compagnie parisienne du Gaz ;Le pavillon des Mines et Métallurgie;Le kiosque du Champ-de-Mars;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
objectif;objectif;;;;
